No,질문,답변
000146,"- 화면번호 : 3990

- 문의내용 : IRS 거래시 특정 시점에서 금리 변동에 따른 NPV의 변화를 알고 싶습니다.","안녕하세요. CHECKExpert+ 입니다.

답변이 늦어져서 죄송합니다.

화면 우측 상단의 MarketUpdate 버튼을 클릭하면
해당 시점의 IRS 금리를 가져와서 NPV를 다시 계산하게 됩니다.

감사합니다."
000130,"- 화면번호 : 3269

- 문의내용 : 금융채 중에서 은행채 거래내역만 따로 볼 수 있는 방법이 있을까요??","안녕하세요. CHECKExpert+ 입니다.

3269화면은 투자자별 매매내역을 추정하여 보여주는 화면입니다.
은행채와 같은 특정 종류 채권의 거래내역을 조회하려면
3703화면이 더 적합합니다.

3703화면 상단에서 [은행]버튼을 클릭하시고, [은행채]를 선택하면
은행채만의 거래내역을 조회할 수 있습니다.

감사합니다.
"
000128,"- 화면번호 : 

- 문의내용 : 
안녕하세요. 채권(특은채) 발행 및 유통 내역을 ""표면금리""가 아닌 ""매입수익률""과 함께 볼 수 있는 화면이 있을까요?","안녕하세요. CHECKExpert+ 입니다.

'매입수익률'의 의미가 유통시장에서의 거래수익률을 말씀하시는 것일까요?

발행정보는 3022화면에서 조건을 걸어 필터링하여 조회할 수 있는데
발행정보만 있으므로 거래수익률을 조회할 수는 없습니다.

유통정보는 3703, 3704화면에서 조회가 가능한데,
3703은 건별, 3704는 종목별로 조회할 수 있는 화면입니다.
해당 화면에서는 거래된 수익률을 확인할 수 있습니다.

감사합니다."
000126,"- 화면번호 : 3223 3430 화면 값 차이 

- 문의내용 : 금리가 어떻게 산정되어 고시되는건지 문의드립니다 ","안녕하세요. CHECKExpert+ 입니다.

3223화면은 금융투자협회에서 고시하는 
최종호가수익률을 보여주는 화면입니다.
금융투자협회는 증권사 10개사로부터 오전, 오후 하루에 2회
금리를 받아서 최종호가수익률을 산출합니다.

3430화면은 채권평가사  4사가 산출하는 금리입니다.
시장에서 거래되는 금리 수준을 바탕으로 각 사 내부의 기준으로 산출하여
오후 6시 전후에 제공됩니다.
화면 왼쪽 상단에서 3사평균, 4사평균 또는 각 평가사를 선택할 수 있습니다.

감사합니다.
"
000125,"- 화면번호 : 

- 문의내용 : 수고많으십니다. 미국 국채 3년, 5년, 10년 금리값을 시계열 데이터로 엑셀에서 산출하고 싶습니다. ch함수를 어떻게 써야하는지 문의 드립니다.
감사합니다. ","안녕하세요. CHECKExpert+ 입니다.

=CH( """", """", 10, ""D"", TRUE, ""GBUS10Y"", ""32450"", ""DESC"", ""withtable=true;"")

예시는 위와 같습니다.
중간에 GBUS10Y가 미국채10년 코드
32450이 MID값을 나타내는 코드입니다.

3931화면 상단에서 조회를 원하시는 국가를 선택하고
중간의 표에서 원하는 만기의 BID/ASK/MID 중 하나의 호가 셀에서
마우스 우클릭하고 '엑셀 실시간 붙여넣기'를 클릭하면
엑셀에서 CT함수로 조회됩니다.
해당 함수의 수식에서 종목코드와 항목코드 확인이 가능하니
참고하셔서 CH함수에서 활용하시기 바랍니다.

감사합니다."
000120,"- 화면번호 : 

- 문의내용 : 안녕하세요..체크단말기와 채권 조회에 익숙하지 않은 사용자입니다. 
다른 직원이 작성한 엑셀 파일에 ch함수가 적용되어 있는데 알고 싶은것은 1.종목코드061010000*060, 항목코드9036 
2. 종목코드 066390123*060, 항목코드 9036  
해당 2개 조건에 해당되는 데이터값을 단말기 어느화면에서 조회 가능한지 알고 싶습니다..해당 조건은 국고채3년, 회사채3년의 수익률 같습니다.","안녕하세요. CHECKExpert+ 입니다.

3430화면에서 확인이 가능합니다.

표 왼쪽 상단에서 그룹명으로 된 것을 '그룹명(그룹코드)'로 바꾸시면
종목코드를 확인할 수 있고, 
적어주신 종목코드가 어느 그룹코드인지 확인이 가능합니다.

9036은 말씀하신대로 3년 테너의 수익률을 의미하는 코드가 맞고
국고채 3Y에 해당하는 셀을 우클릭해서 '엑셀 실시간 붙여넣기' 선택하면
나오는 엑셀의 셀 수식을 통해서도 확인할 수 있고,
'엑셀 Premium으로 보내기' 선택해서 조회되는 엑셀파일에서
복잡하긴 하지만 A2셀의 내용으로도 확인이 가능합니다.

감사합니다.

"
000107,"- 화면번호 : 

- 문의내용 : 안녕하세요 혹시 kis cd index의 가격을 조회할 수 있는 화면이 따로 있는지 알 수 있을까요? 감사합니다!","안녕하세요. CHECKExpert+ 입니다.

혹시 문의주신 KIS CD Index가
TIGER CD금리투자KIS(합성) ETF의 기초자산으로 쓰이는 지수인 것일까요?

그렇다면 3750화면에서 왼쪽 상단에서
[KIS CD 금리투자]를 선택하시면 조회할 수 있습니다.

감사합니다.
"
000104,"- 화면번호 : 

- 문의내용 : 
안녕하세요~ 혹시 CTD 함수를 이용해서
특정 채권종목 특정시점(특정일 특정 시간대 ex) 24.1.12일 오전 11시)의 금리도 뽑을 수 있는지
확인 부탁드리고싶습니다! 혹시 체크를 이용해서 다른 방법을 쓸 수 있다면 말씀 부탁드립니다. ","안녕하세요. CHECKExpert+ 입니다.

채권의 거래가 특정시점에 맞춰서 있는 것이 아니다보니
특정 시간의 금리를 제공할 수 없는 점 양해부탁드립니다.

대안으로 말씀드릴 수 있는 방법은
3703화면에서 왼쪽상단을 [장내국채]로 선택하시고,
조회를 원하시는 종목을 바로 우측의 검색창에서 골라주신 다음
화면 우측 상단의 시간을 10:59 ~ 11:01로 선택하시면
해당 시간대에 거래된 내역을 조회하실 수 있습니다.

조회된 데이터에서 마우스 우클릭하신 후 
[엑셀 Premium으로 보내기]를 선택하시면
A2셀에서 CTP함수 수식이 있고, 해당 수식을 참고하셔서
A1셀에 입력된 종목이나 시간을 바꾸면
원하시는 데이터에 근접한 데이터를 조회할 수 있을 것으로 판단됩니다.

감사합니다."
000085,"- 화면번호 : 기준금리

- 문의내용 : 기준금리 변동 챠트 조회가능한 화면이 있을까여>","안녕하세요. CHECKExpert+ 입니다.

한국은행 또는 FOMC의 기준금리를 말씀하신다면,

한국은행 기준금리 : 2714화면의 통화정책방향 탭
FOMC 기준금리 : 2713화면의 FOMC Meetings 탭

감사합니다."
000070,"- 화면번호 : 3030

- 문의내용 : 회사채 발행 통계는 출처가 금융투자협회인건가요?","안녕하세요. CHECKExpert+ 입니다.

출처는 금융투자협회가 아닙니다.

거래소로부터 수신할 채권발행정보 데이터를
화면상단의 채권종류, 신용등급, KRX분류 중 어느 것을 선택하느냐에 따라
CHECK의 내부기준 또는 KRX분류체계에 따라 분류한 후 
자체적으로 생산한 통계입니다.

감사합니다."
000013,"- 화면번호 : 

- 문의내용 : 안녕하세요 체크에서 증권사 발행어음 조회하려면 어떻게 해야할까요 ","안녕하세요. CHECKExpert+ 입니다.

현재 CHECK에서는 증권사 발행어음 발행내역을 
제공하고 있지는 않습니다.

이용에 불편을 드려 죄송합니다.
감사합니다.
"
001692,"- 화면번호 : 

- 문의내용 : 국채선물 권역별 순매수량을 볼 수 있는 화면번호가 있을까요??","안녕하세요. CHECKExpert+ 입니다.

질문 중에 '권역별'이 투자자별을 의미하는 것일까요?
그렇다면 아래의 화면 등에서 확인이 가능합니다.

4235화면 : 일중 투자자별 순매수 추이
4342화면 : 일별 투자자별 순매수 추이
3107화면 : 우측 상단에서 [투자자] 또는 [투자자차트] 탭

감사합니다.
"
001687,"- 화면번호 : 3212

- 문의내용 :

혹시 종신금이라는 투자자 분류가 있는데, 어떤건지랑 어떤 기관이 있는지
설명 부탁드려도 될까요?","안녕하세요. CHECKExpert+ 입니다.

화면 우측 상단의 물음표 모양을 클릭하시면 도움말로 연결이 되는데요,
해당 화면의 설명 밑부분에 '특이 사항'부분에 투자자별 설명이 있습니다.

종신금 : 종합금융회사, 상호저축은행 등

위 구분은 예시정보이고 실제 투자자구분은 거래 계좌의 성격에 따라서
구분됨에 유의하시기 바랍니다.

감사합니다."
001684,"- 화면번호 : 3210

- 문의내용 : 

3210 화면에 유형, 성격이라는 분류가 있는데 

1. 유형에 써있는 위탁 과 직매가 무엇이고 그 차이점은 무엇인지
2. 성격에 서있는 자기, 기타가 무엇이고 그 차이점은 무엇이지
궁금해서 연락드렸습니다. 항상 감사드립니다. ","안녕하세요. CHECKExpert+ 입니다.

1. 
위탁 : 거래 당사자 중 한쪽만 증권회사인 경우
직매 : 거래상대방과 위탁계좌를 통하지 않고 하는 거래로 주로 증권사간 거래를 의미

2.
자기 : 투자매매매업 인가를 받은 금융투자회사가 자기의 계산으로 매매하는 거래
기타 : 위탁자가 거래상대방과 이미 협의를 끝낸 상태에서 증권사에 명목상 중개역할만을 요청한 거래

감사합니다."
001680,"- 화면번호 : 3905

- 문의내용 : 
안녕하세요, 혹시 3905 화면 -> 시장위험지표 탭에서 조회 가능한 채권별 듀레이션/수정듀레이션을 XL Preimum 서비스를통해서도 조회하는 기능이 존재 할까요?","안녕하세요. CHECKExpert+ 입니다.

3905화면의 듀레이션은 입력한 수익률에 의해 자동으로 계산되는 값이어서
엑셀프리미엄으로 받기는 불가능하고,
저희가 민평3사 수익률로 미리 산출해놓은 듀레이션은
엑셀프리미엄으로 조회할 수 있습니다.

3000번화면에서 해당 종목으로 조회하신 뒤,
화면 우측 중간에 Mac Duration, Mod Duration 값이 있는 셀에 우클릭하고
[엑셀 premium으로 보내기]를 선택하면
엑셀프리미엄 함수식으로 보실 수 있으니
해당 식을 참고하시기 바랍니다.

감사합니다."
001666,"- 화면번호 : 3080

- 문의내용 : 3080 지표 호가에서 FID 숫자를 CT로 끌고 오려고 하는데 왜 숫자 반영이 잘 안되는지 모르겠습니다. =CT('KR103501GD99"", ""14664"")/100 이런식으로 따오려고 하는데 작동이 되다 안되다 하네요","안녕하세요. CHECKExpert+ 입니다.

채권의 경우 시장이 여러개이므로, 해당 화면의 시장에 맞는
시장코드를 같이 적어주셔야 합니다.

=CT(""KR103501GD99*161"", ""14664"")/100

위의 수식처럼 종목명 뒤에 장내국채시장을 의미하는 *161을 붙여서
수식을 작성하면 정상적으로 동작합니다.

시장번호를 알기 위해서는 화면에서 특정 셀을 우클릭하고
""엑셀실시간 붙여넣기""를 선택하시면
엑셀의 수식에서 확인이 가능하고,
또는 8003화면에서 왼쪽에 있는 시장코드를 참고하셔도 됩니다.

감사합니다."
001658,"- 화면번호 : 3310 / 3992

- 문의내용 : 

혹시 추가로 언급해주신 3310 화면에서 보여지는 USD SOFR IRS 데이터의 출처를 여쭤봐도 될까요?","안녕하세요. CHECKExpert+ 입니다.

Tullet Prebon이라는 회사로부터 데이터를 받고 있습니다.

감사합니다."
001655,"- 화면번호 : 3000 / 3003

- 문의내용 : 
안녕하세요,
FRN 채권 관련해서 문의드립니다.

현재 체크 단말기에서 확인 가능한 FRN의 단가는, 모든 미래 현금흐름이 직전에 확정된 금리로 고정된 상태에서 고정채와 같은 방식으로 계산되는것 같은데, 맞을까요?

","안녕하세요. CHECKExpert+ 입니다.

현재 체크 단말기에서 확인 가능한 FRN의 단가는, 모든 미래 현금흐름이 직전에 확정된 금리로 고정된 상태에서 고정채와 같은 방식으로 계산하고 있습니다.


"
001655,"- 화면번호 : 3000 / 3003

- 문의내용 : 
안녕하세요,
FRN 채권 관련해서 문의드립니다.

미래 FRN의 기준금리를 hull white 모형등으로 산출 한 후 이를 기반으로 기준금리를 추정하는 방식의 단가는 체크에서 제공되고 있지 않은것인가요?
","안녕하세요. CHECKExpert+ 입니다.

미래 FRN의 기준금리를 hull white 모형등으로 산출 한 후 이를 기반으로 기준금리를 추정하는 방식의 단가는 체크에서
제공하고 있지 않습니다만, 
중장기적으로 FRN, 옵션부채권 등의 가격계산기도 제공할
계획을 가지고는 있습니다. "
001655,"- 화면번호 : 3000 / 3003

- 문의내용 : 
안녕하세요,
FRN 채권 관련해서 문의드립니다.

FRN의 기준금리중
USD 스왑 30Y의 경우, 미국 달러채 IRS 커브의 30년 금리를 말하는것 같은데, 이런 경우 Bloomberg나 Reuter측에서 제공하는 특정 티커의 특정 시점의 값을 말하는 것인가요?
 ","안녕하세요. CHECKExpert+ 입니다.

USD 스왑 30Y의 경우에는 
정확히 그 금리가 어떤 정보벤더의 특정시간을 쓰는지는 저희는 알 수 없고
해당 채권의 계약서 둥울 봐야지만 알 수 있으므로
이자지급일에 예탁원 금리를 확인하고, CHECK에 반영하고 있습니다.

참고로, 말씀주신 달러IRS의 상품의 경우 
교환하는 변동금리가 LIBOR이기 때문에
더이상은 시장에서 거래되는 상품이 아니고,
3310등의 화면에서 USD SOFR OIS 등의 시세는 제공하고 있습니다.
"
001655,"- 화면번호 : 3000 / 3003

- 문의내용 : 
안녕하세요,
FRN 채권 관련해서 문의드립니다.

FRN의 기준금리중
BNK캐피탈 2년물 민평 4사 수익률,
국고채 2년물 민평수익률 등을
혹시 체크에서 해당 값들을 조회할 수 있는 기능이 있을까요?","안녕하세요. CHECKExpert+ 입니다.

BNK캐피탈 2년물 민평 4사 수익률 : 3741
국고채 2년물 민평수익률 : 3430
위 화면들에서 확인할 수 있습니다.

감사합니다."
001642,"- 화면번호 : 엑셀프리미엄 질문

- 문의내용 : 
혹시 엑셀 프리미엄이 지금 단말기에 깔려있는건지 어떻게 확인할 수 있을까요?
","안녕하세요. CHECKExpert+ 입니다.

CHECK 왼쪽 상단의 검색창에 0000을 입력하면 나오는 팝업창에서
중간의 권한종류에서 '기능'을 선택하시고
아래 ExcelPremium에 1로 되어있다면 권한이 있는 것입니다.

감사합니다.
"
001642,"- 화면번호 : 엑셀프리미엄 질문

- 문의내용 : 
3741 화면에서 특수채 AAA 의 1년 2년 3년 
이런식으로 특수채AAA 민평 금리를 엑셀로 가져오고 싶은데, 사용법을 읽어봐도 특수채 안에 개별 종목 하나를 가져오는건 가능한거 같은데,  특수채AAA라는 등급 민평을 가져오는 방법을 모르겠습니다. ","안녕하세요. CHECKExpert+ 입니다.

개별발행기관이 아닌 특수채AAA와 같은 신용그룹의 민평을 조회하려면
3430화면이 편합니다.
3430화면에서 특수채AAA의 1Y 셀에 마우스를 가져가서 우클릭하고
'엑셀실시간 붙여넣기'를 선택하시면 CT함수로 데이터를 가져오는 것을
확인할 수 있습니다.
마우스 우클릭 후 '엑셀 Premium으로 보내기'를 선택하시면
해당 화면의 전체데이터를 엑셀 수식으로 조회할 수 있고
수식을 적절히 수정하셔서 입맛에 맞게 사용할 수도 있습니다.

감사합니다.
"
001639,"- 화면번호 : 
- 전화번호 : 
- 문의내용 : 일중 K-bond 메신저 호가 중 크레딧 채권의 거래내역 어디서 보는지요?

예시
23.12.20.   중금채   민 거래   3.833
24.01.28.   산금채   민 거래   3.857
24.02.02.   산금채   민-1원   3.906(오전)","안녕하세요. CHECKExpert+ 입니다.

문의주신 내용으로 보아 
K-Bond 메신저 상에서 거래된 내역을 뿌리는 것을 적어주신 것 같은데
해당 내용은 3317화면에서 조회가 가능합니다.

왼쪽 상단에서 날짜 우측에서 은행채를 선택하시고
그 우측에서 체결을 선택하시면
K-bond 메신저 상에서 체결로 뜨는 거래내역을 확인할 수 있습니다.

메신저 상이 아닌 장외에서 거래하고 금융투자협회에 거래신고를 한 
내역을 보시고 싶다면 3703화면에서 조회가 가능합니다.
왼쪽 상단에서 장외(15분)을 선택하시고 조회할 수 있습니다.

감사합니다."
001636,"- 화면번호 : 

- 문의내용 : 

3436 화면의 총 spread는 국채대비 스프레드로 이해하면 될까요?
아니면 혹시 어떤 것 대비 스프레드인지 확인 부탁드립니다!","안녕하세요. CHECKExpert+ 입니다.

화면 우측 상단의 [분석지표?] 버튼을 클릭하시면
조회되는 항목들에 대한 설명이 적혀있습니다.

해당 설명 참고부탁드립니다.
감사합니다."
001635,"- 화면번호 : 

- 문의내용 : 
안녕하세요~ 다름아니라 항목코드 31592 통해 채권 스프레드를 뽑아보고있는데
31592(총스프레드)가 어떤 화면에서 끌고오는 스프레드 인지 알 수 있을까요?","안녕하세요. CHECKExpert+ 입니다.

3436화면 우측부분에 보면 총Spread 항목이 존재하는데,
31592는 그 총Spread의 전일값을 가져오는 항목입니다.

만약 당일의 총Spread 항목을 가져오고 싶다면
18218 항목코드를 사용하시면 됩니다.

감사합니다."
001631,"- 화면번호 : 
- 전화번호 : 
- 문의내용 : Kodex 국채선물10년, 종합 채권등 듀레이션을 볼수 있는 방법이 있을까요?","안녕하세요. CHECKExpert+ 입니다.

1448화면에서 KODEX 종합채권(AA-이상)액티브 종목의
평균듀레이션을 확인할 수 있습니다.

다만, KODEX 국채선물10년은 해당 화면에서 듀레이션을 제공하지 않는데요,
기초지수인 F-LKTB지수의 추이는 4053화면에서 확인할 수 있지만
마찬가지로 지수산출기관에서 듀레이션 정보를 제공하지 않습니다.
대안으로 4080화면에서 왼쪽 상단에서 KTB10 버튼을 선택하면
화면 중간의 표에서 국채선물10년물의 듀레이션을 조회할 수는 있습니다.

감사합니다."
001586,"- 화면번호 : 3000

- 문의내용 : 

3000번 화면 채권 발행정보에서, 이자일할기준(CHECK)라는 필드가 있는데, 이 필드가 의미하는바가 정확히 무엇인가요? 
","안녕하세요. CHECKExpert+ 입니다.

이자일할기준(CHECK)는 지급주기, 365일 두 가지 값이 존재하는데요,

예를 들어, 이자지급일이 3개월 단위로 딱 맞아떨어지고,
이표도 연쿠폰을 1/4해서 지급하는 경우는 지급주기로 표시됩니다.

마지막 이자지급일이 지급주기에 떨어지지 않게 존재하는 짜투리구간의
쿠폰이 일할계산해서 지급되는 경우에는 365일로 표시가 됩니다.
또한 이자지급일이 지급주기에 맞게 딱 떨어지더라도
이자가 일할계산해서 지급되는 경우에도 365일로 표시가 됩니다.

감사합니다."
001561,"- 화면번호 : 

- 문의내용 : 한국 및 미국 기준금리를 받아올 수 있는 CT나 RTD 함수 사용법 좀 알 수 있을까요?","안녕하세요. CHECKExpert+ 입니다.

한국 및 미국 기준금리는 CT나 RTD로 값을 가져오기는 어려운 구조입니다.

대신 CTR함수를 활용해서는 가능한데요,
3943화면을 여시고, 화면 상단에서 [주요]탭을 선택한 다음
국가명에서 '대한민국'을 더블클릭하시면
우측 상단의 표에 대한민국의 기준금리 추이표가 나오는데요,
그 표에서 마우스 우클릭하신 뒤 [엑셀 Premium으로 보내기]를 하시면
엑셀에서 해당 데이터를 확인할 수 있습니다.
A2셀에 CTR함수를 활용한 수식이 들어있는데요,
수식 중에 날짜가 들어있는 부분을 
TEXT(TODAY(),""YYYYMMDD"")로 바꿔주시면
날짜가 바뀔때마다 가장 최근의 기준금리가 B3셀에서 조회가 됩니다.

미국의 기준금리도 같은 방법으로 조회가 가능합니다.

이용에 도움이 되셨길 바랍니다.
감사합니다."
001536,"- 화면번호 : 3900

- 문의내용 : 채권 단가와 수익률이 서로 계산되는 근거 문서가 있으신가요?","안녕하세요. CHECKExpert+ 입니다.

해당 화면에서 조회되는 단가와 수익률은 CHECK에서 계산한 값이 아니라
금융투자협회로부터 수신한 데이터를 그대로 보여주고 있습니다.
다만, 거래수익률에 따른 단가는 금투협으로부터 수신한 값과
CHECK에서 계산한 값이 거의 다르지 않을 것으로 판단됩니다.

채권수익률의 가격환산 산식은
금투협 규정의 ""금융투자협회의 영업 및 업무에 관한 규정""의
별표 14를 참고하시기 바랍니다.

감사합니다."
001533,"- 화면번호 : 3034

- 문의내용 :  
'농협'은 없고 '농협은행', '농협금융지주'만 있습니다. '농협중앙회' 잔액을 보고싶은데 방법이 없는걸까요?","안녕하세요. CHECKExpert+ 입니다.

3034화면 왼쪽 상단의 파란색 바탕의 '발행기관'을 더블클릭하시면
발행기관명이 오름차순 또는 내림차순으로 정렬되어
'농협'을 찾을 수 있습니다.

또는 데이터 있는 표 부분에서 마우스 우클릭 후
[전체 영역 엑셀로 보내기]를 선택하시면
엑셀로 열리면서 Ctrl+F 를 사용해서 검색하실 수도 있습니다.

감사합니다."
001528,"- 화면번호 : 3311

- 문의내용 :  USD IRS가 필요한데 가장 통상적으로 많이 쓰이는 USDIRS는 어디서 구할수 있나요? 마찬가지로 JPYIRS와 EURIRS도 필요합니다.","안녕하세요. CHECKExpert+ 입니다.

Libor 금리와 교환하는 이전의 USD IRS 상품의 호가는 3317 등의 화면에서
조회는 가능하지만, 해당 상품은 현재 시장에서 거래되고 있지 않습니다.
Libor 금리가 산출이 중단이 되면서 각국의 RFR 기반의 OIS 상품으로
시장 거래가 전환되었기 때문입니다.

따라서 3311화면 또는 3313화면에서 돋보기 버튼을 눌러
조회를 원하시는 통화의 OIS 상품을 참고하시는 편이 나아보입니다.

감사합니다.
 "
